Bot1,Bot2,Bot3,Bot4,Bot5,fBlood,fT,fD,fB,TK,DK,BK,Win
8,497,498,38,113,0,0,0,0,0,0,0,no
64,163,58,81,223,1,1,1,1,11,3,1,yes
266,81,246,201,79,0,0,0,0,0,0,0,no
84,58,145,412,121,1,1,1,0,7,1,0,yes
498,79,91,157,40,1,1,1,1,6,2,1,yes
15,84,126,104,43,0,0,0,0,2,0,0,no
432,157,79,517,114,0,0,1,1,9,3,1,yes
223,28,55,58,81,1,1,0,0,2,0,0,no
268,30,58,498,497,1,0,1,0,5,1,0,yes
126,246,81,555,517,0,1,0,0,1,0,0,no
517,266,81,246,555,0,0,0,1,0,1,1,no
498,497,60,39,92,1,1,1,0,11,1,0,yes
145,12,266,8,517,0,0,0,0,0,0,0,no
164,58,412,81,163,1,1,1,0,8,1,0,yes
99,517,58,81,59,0,1,0,1,9,0,1,yes
2,43,266,145,4,1,0,1,0,3,3,0,no
107,555,50,43,39,1,1,0,1,11,1,1,yes
92,163,517,350,81,0,0,1,0,2,1,0,no
84,432,246,15,60,0,0,1,1,10,2,1,yes
517,58,81,103,412,1,1,0,0,2,0,0,no
222,58,76,268,412,0,0,1,0,4,1,0,no
85,111,104,498,79,1,1,0,1,9,2,1,yes
429,76,79,245,266,0,0,1,0,1,1,0,no
58,60,350,68,15,1,1,0,1,6,1,1,yes
58,113,497,498,84,1,1,0,0,4,0,0,no
145,517,266,555,41,0,0,1,1,8,2,1,yes
517,106,58,203,81,0,1,1,1,9,3,2,yes
41,555,145,79,126,1,0,0,0,3,1,0,no
76,99,58,266,51,0,1,0,0,6,1,0,yes
8,164,53,121,119,1,0,1,0,1,1,0,no
142,30,58,222,106,0,1,1,0,7,2,0,yes
497,64,498,98,34,1,0,0,0,0,0,0,no
266,30,122,236,9,1,0,0,1,8,3,1,yes
58,84,203,43,81,0,1,1,0,5,1,0,no
84,99,64,67,51,0,1,1,1,8,2,1,yes
8,79,236,267,58,1,0,0,0,1,0,0,no
266,246,497,81,60,1,1,1,1,11,4,1,yes
79,157,92,82,236,0,0,0,0,2,0,0,no
58,30,202,43,238,0,1,0,0,10,1,0,yes
127,15,5,12,91,1,0,1,0,1,2,0,no
164,518,111,42,421,1,0,1,1,2,2,1,no
60,268,145,12,58,0,1,0,0,10,2,1,yes
58,163,111,18,498,0,1,0,0,3,0,0,no
268,145,64,117,39,1,0,1,1,2,2,1,yes
145,42,111,5,58,0,1,1,0,9,2,0,yes
8,517,81,412,266,1,0,0,0,0,0,0,no
110,58,223,236,59,0,1,0,0,4,1,0,no
145,163,2,517,42,1,0,1,1,8,1,1,yes
42,50,266,104,350,0,0,0,0,1,0,0,no
92,517,64,111,15,1,1,1,0,3,2,0,yes
58,30,18,12,163,0,1,1,0,8,1,0,yes
236,103,555,203,122,1,0,0,0,0,0,0,no
24,60,246,22,98,0,0,0,0,0,0,0,no
106,145,134,163,58,1,1,1,0,9,1,0,yes
555,142,421,58,498,0,1,1,0,3,1,0,yes
517,64,41,432,145,1,0,0,0,0,1,0,no
104,8,268,236,43,1,0,1,0,0,1,0,no
58,79,246,12,163,0,1,0,0,10,2,0,yes
60,266,164,236,111,1,1,0,0,3,1,0,no
91,15,163,8,40,0,0,1,0,5,1,0,yes
91,58,76,43,15,0,1,0,1,11,1,1,yes
79,50,121,164,41,1,0,1,0,1,2,0,no
50,18,555,58,164,0,1,0,0,3,0,0,no
64,55,51,25,266,1,0,1,0,6,2,0,yes
28,25,498,42,164,0,0,0,0,0,0,0,no
145,555,8,64,517,1,1,1,0,5,1,0,yes
145,555,60,9,23,0,1,0,0,5,0,0,yes
15,10,163,350,164,1,0,0,0,0,0,0,no
98,517,68,96,39,1,1,1,1,3,2,2,no
67,104,133,45,12,0,0,0,0,9,1,0,yes
13,68,98,81,203,0,0,1,0,2,2,0,no
18,79,53,268,58,1,1,0,1,10,2,1,yes
30,41,99,39,51,0,0,0,0,1,0,0,no
164,58,81,40,163,1,1,1,0,5,1,0,yes
25,142,268,236,64,1,0,1,1,9,3,1,yes
79,497,43,58,498,0,1,0,0,6,0,0,no
106,518,104,15,517,1,1,1,0,11,2,0,yes
60,24,81,350,555,0,0,0,0,0,0,0,no
110,30,12,102,157,0,0,0,0,0,0,0,no
103,111,517,81,58,1,1,1,0,8,2,0,yes
39,60,246,429,106,1,0,1,1,7,3,1,yes
266,141,412,145,42,0,1,0,0,1,0,0,no
81,59,246,43,164,0,1,0,1,9,2,1,yes
42,58,145,79,5,1,0,1,0,3,1,0,no
82,145,111,8,164,1,1,0,1,3,0,1,yes
81,55,163,43,58,0,0,1,0,2,2,0,no
98,240,81,8,164,1,1,1,0,11,1,0,yes
141,429,111,58,24,0,0,0,0,0,0,0,no
43,67,421,107,9,0,0,0,0,0,0,0,no
266,40,81,517,58,1,0,0,0,0,0,0,yes
79,157,58,145,555,0,1,0,0,8,1,0,yes
119,412,266,163,8,1,0,1,0,1,1,0,no
68,7,81,43,203,1,1,0,0,1,0,0,no
30,236,555,246,58,0,0,1,0,5,1,0,yes
157,412,517,126,15,1,1,0,0,4,0,0,yes
10,421,350,245,81,0,0,0,0,0,0,0,no
30,91,223,555,15,1,1,1,0,4,2,0,yes
58,92,517,80,81,0,0,0,0,0,0,0,no
266,81,89,163,126,0,0,0,0,0,0,0,no
429,25,58,30,55,1,1,1,0,5,1,0,yes
517,145,43,421,412,0,0,1,1,7,3,1,no
30,223,236,13,122,1,1,0,0,7,1,1,yes
240,145,246,30,89,0,1,0,1,6,0,1,yes
555,81,91,58,86,1,0,1,0,5,4,0,no
15,58,99,121,350,1,0,0,0,3,1,0,no
60,12,429,23,91,0,1,1,0,6,2,0,yes
222,8,412,266,421,0,0,0,0,0,0,0,no
202,79,58,39,223,1,1,1,0,3,1,0,yes
141,40,236,58,134,1,1,0,0,8,0,0,yes
43,28,246,106,18,0,0,0,0,0,0,0,no
79,246,58,22,106,0,1,1,1,10,3,1,yes
127,145,421,25,142,1,0,0,0,2,1,0,no
145,79,246,13,12,0,0,0,0,2,1,0,yes
15,5,412,43,164,1,1,1,0,1,1,0,no
81,91,555,163,58,1,1,1,0,9,1,0,yes
498,28,8,16,33,0,0,0,0,0,0,0,no
498,421,42,412,24,1,0,0,0,1,0,0,no
555,58,145,79,157,0,1,1,1,11,4,2,yes
76,91,429,497,58,0,1,1,0,5,2,0,yes
82,26,81,517,64,1,0,0,0,0,0,0,no
266,223,79,163,81,0,1,0,0,9,0,0,yes
412,222,76,142,92,1,0,0,0,0,0,0,no
222,30,50,82,106,1,0,0,0,1,0,0,no
81,58,69,350,28,0,1,1,0,5,2,0,yes
58,60,350,15,126,1,1,1,1,8,1,1,yes
31,236,30,91,412,0,0,0,0,1,0,0,no
60,164,22,91,555,0,0,0,0,0,0,0,no
517,81,58,142,3,1,1,1,0,11,1,0,yes
412,126,58,236,517,1,1,1,0,10,1,0,yes
30,39,22,350,240,0,0,0,0,0,0,0,no
163,99,119,58,268,1,1,1,0,4,1,0,yes
24,43,498,350,64,0,0,0,0,1,0,0,no
106,429,163,82,164,1,1,0,1,10,2,1,yes
161,58,81,43,64,0,0,1,0,1,1,0,no
266,145,42,555,30,0,0,1,1,9,1,1,yes
106,268,58,141,81,1,1,0,0,3,1,0,no
67,266,203,268,350,0,0,0,0,6,0,0,yes
5,111,516,58,429,1,1,1,1,6,3,1,no
117,517,498,142,24,1,0,0,0,6,0,0,yes
58,43,4,15,203,0,1,1,1,9,4,1,no
2,69,81,58,43,0,1,1,0,2,1,0,no
126,51,164,60,25,1,0,0,0,7,1,0,yes
81,84,16,163,58,0,1,1,0,5,3,0,no
24,43,9,145,106,1,0,0,1,7,0,1,yes
498,85,30,516,497,0,0,1,0,1,1,0,no
145,58,432,60,163,1,1,0,1,9,1,2,yes
5,106,126,85,145,0,1,0,0,5,0,0,no
236,4,120,8,26,1,0,1,1,10,4,1,yes
79,266,84,145,497,0,0,1,0,4,1,0,yes
421,517,555,498,58,1,1,0,0,1,0,0,no
126,163,15,223,2,1,1,1,0,3,1,0,no
37,55,555,58,145,0,0,0,1,3,1,1,yes
134,58,497,517,119,1,1,1,0,9,1,0,yes
64,13,350,2,498,0,0,0,0,1,0,0,no
266,15,98,126,79,1,1,1,0,7,2,0,yes
145,111,30,13,58,0,0,0,0,2,0,0,no
85,82,110,111,421,0,1,1,0,6,1,0,yes
145,78,58,59,84,1,0,0,0,1,0,0,no
31,28,119,91,518,0,0,1,1,2,1,1,no
126,81,60,58,432,1,1,0,0,8,2,0,yes
350,2,117,119,39,1,1,1,1,5,2,1,yes
43,154,58,82,91,0,0,0,0,3,1,0,no
517,246,26,58,81,0,1,0,0,7,0,0,yes
266,23,555,15,30,1,0,0,0,0,0,0,no
498,555,84,126,517,0,0,0,0,0,0,0,no
58,81,350,421,163,0,0,0,0,0,0,0,yes
157,84,79,51,99,1,0,0,0,6,1,0,yes
43,58,126,64,81,0,1,1,0,4,1,0,no
81,164,113,43,126,0,0,0,0,0,0,0,no
145,20,41,91,555,1,1,1,0,8,1,0,yes
20,82,81,99,266,1,1,1,0,7,1,0,yes
58,236,412,163,240,0,0,0,0,0,0,0,no
43,99,84,421,498,1,1,0,1,8,1,1,yes
223,81,517,142,92,0,0,1,0,1,1,0,no
81,99,60,236,23,0,0,0,1,9,3,1,yes
64,43,58,145,50,1,1,1,0,5,1,0,no
58,266,25,498,39,0,0,0,0,0,0,0,no
81,246,113,555,114,1,1,1,0,3,1,0,yes
76,157,58,43,15,0,0,0,0,2,1,0,no
5,164,8,119,99,1,1,1,1,4,2,1,yes
429,412,114,84,59,0,0,1,0,7,4,1,no
60,51,25,164,58,1,1,0,1,9,2,2,yes
266,15,497,92,60,0,1,1,0,3,1,0,no
43,120,58,518,222,1,0,0,1,8,2,1,yes
25,79,58,157,81,0,1,0,0,7,1,0,no
41,80,555,28,145,1,0,1,1,8,4,2,yes
25,39,58,79,81,1,1,0,0,3,0,1,no
421,412,4,98,145,0,0,1,1,10,5,1,yes
141,236,39,85,555,1,0,1,0,1,2,0,no
421,51,99,58,103,0,1,0,0,4,2,0,yes
